,star,好,乐,哀,怒,惧,恶,惊,contents
2890,0,4,3,10,1,0,5,0,连看了期有点心累想弃了现在对谈论情感这样一件事情感到非常倦怠不知道为什么好像激情都被磨光了从小到大看到身边的人都因为情感而痛苦失落自卑与沉沦我有时候就会觉得有必要吗可能没有但这在一定程度上也忽略了情感当中带来开心与满足的那一面应该去体验吗以及说体验这些有意义吗有时候我会失望失望于自己做得不够好失望于自己的主动没有得到相应的反馈看这个节目时一直都在想的是好像有时候我也是这样当有一个外部的视角去审视与自己相似的举动之时我会发现可能我真的做错了当我想要在现实的社交生活中尽力去避免这些时又会感觉我给自己设置了边界别人情绪进不来我的情绪也出不去这不会犯错一切都很平静但也很无趣所以无论如何都得打开自己哪怕可能会犯错但也比一潭死水强
7364,0,4,1,8,0,0,5,1,离异的出轨的丧偶的长久的婚姻也许从来都不存在哪怕相爱一生也只会觉得如此短暂她说她喜欢谭老师她以前不是喜欢妈咪么这才多长时间忍受不了最爱的人被遗忘原来这么多年我都像个孩子不知道说些什么难过的想死看完以后脑子里情绪翻涌又一片空白遗憾又无力不管是爱情还是人生啊不管是幸福还是悲伤啊不管是漫长还是短暂啊通通都逃不过同一个结局离别
4988,0,6,0,8,0,0,2,0,人在作为主体的情感里总会变得十分顿感就像张贺说的在这个时代离婚只是一种选择其实怨的不能是快餐式恋爱的冲动只是大家在个人选择的时候可能都以为那会是长久的情感挺遗憾的一个事就是互相都很没办法割舍但是因为这样那样的原则和观念的冲突很难再继续一起走人类情感里就是充斥着种种无奈所以活了大半辈子的人都依然在情感里纠结纷争捋不明白又何来自信去给孩子讲明白不要试图靠类似结婚血缘纽带之类的东西来捆绑某段情感改变不了的依旧无法改变而最后受到影响最大的还是孩子自己人到中年都捋不明白的事情不要试图让一个孩子来作为关系的扭转点很不负责任
7602,0,11,2,8,0,0,4,0,追完太棒的节目大概就是我今年看的最佳了从痛苦悲伤矛盾的一面去解读爱的命题才能表现出情感最真实的多样性三组嘉宾都选择非常好处在婚姻的不同状态即使已离婚或者要离婚也仍拥有不同的爱的状态看节目的规程就是一场多维的对爱对关系对自我的反思我献给再见爱人太多眼泪把孤独的几个人扔在山川湖泊我会慢慢变成我们但我们在大自然面前又太渺小再浓厚的情感也不值一提了一切都是那么简单和普通另外感谢这个节目让我认识了宝藏郭柯宇老师她太美了从她的第一次亮相开口说了第一句话之后我就被她吃死了一个饱满的灵魂拥有一股柔软的力量喜欢这一季不期待第二季几乎所有因真诚出圈的节目都会在名誉利益之下做出难看无聊的第二季哈哈芒果台加油
13324,0,2,2,7,0,0,3,0,我这个大龄未婚单身狗站在围墙外听从里面刚走出来即将准备走出来以及犹豫要不要走出来的人讲围墙里面的故事让我对围墙的认识更加立体多面婚姻有的不仅是甜蜜还有忧伤无奈气馁有时候还会绝望么有爱的婚姻万万不能光有爱也是不能的包容理解沟通缺一不可万一不行了离婚并不一定就意味着失败能从痛苦中走出来未尝不是一种自我救赎
773,0,9,0,7,0,0,4,0,最戳人的是三对前夫妻的真实互动和感受分享他们都很勇敢点赞另外这个核心创意完全贴合当下社会人们想说却又没有深入讨论的情绪感受我们为什么会离婚并且打破了夫妻闹矛盾劝和不劝分的传统思想探讨两性情感视角和出发点是当下的突然对创作又有了新的认识故事创作是心理外化人们无法轻易说出口顾左右言他的情绪感受帮人们说出想说又不敢说的话章贺在悬崖边大喊感谢和祝福郭柯宇要过出自己喜欢的样子彼此祝福预告里佟晨洁妈妈劝她们快点生小孩时哭着说妈妈对不起你抱歉自己离异单亲的家庭影响了佟晨洁的婚姻太叹息了最后一期郭老师也下车了大大地拥抱了章贺暴风哭泣这对是真爱但双方都很怕受伤害最后终于勇敢了这是我这么多年来第一次认真看的情感综艺
4216,0,4,2,7,0,0,7,0,昨晚看完了第期今天中午再看一下番外确实蛮少有综艺能让我想到人生的残酷：爱不能解决所有的问题而问题也并不是我们自己制造的问题有很多是家庭的影响和两个人之间的碰撞看他们的争吵质问自我怀疑我更加坚信人与人之间的伤害是不可避免的但这种伤害又无关对错好坏只是因为两个人的不同这种伤害只能消化接受不管是分是合都只能如此但大家都是普人啊未必有这么大的胸襟和能力去接纳这一切所以才走到了离婚这一步因为不是易哭体质所以一路看也觉得还好但看到老王和雅琼问时还是涌出了几滴泪老王说我几乎所有快乐的回忆都是和你一起我最感激的人是你你这一年老了好多岁我想这责任在我哇就觉得他是好孤独又好有责任感一人啊希望他离婚之后可以好好的
4218,1,15,1,6,0,1,2,0,老王和雅琼是有些遗憾的其实老王已经明显认识到了自己的不足可是雅琼已经彻底死心了到底他以前做了什么让雅琼这个深爱他的女人那么决绝但也为雅琼高兴能承受失去王秋雨的痛苦其实她很坚强了她也非常渴望独立为她祝福吧也为老王祝福和佟没啥可说的和好是意料之中章和郭能碰撞出激情我是真没想到的他俩对彼此冷漠了十年却在这十八天里对彼此心动郭其实是不想面对内心的情感但车子启动的那一刻她说感觉心被扎了一下幸好她让师傅停车幸好章贺在车下等她那个紧紧的拥抱把荒野里的大风和落日衬托地极为浪漫然后章搂着郭往前走在那蜿蜒曲折的公路上章说明天就要回家啦回家请儿子吃饭去我相信这是他俩全新关系的开始一段旅程的结束也是另一段旅程的开始再见爱人再见爱人
13337,0,6,1,6,0,0,4,0,真的是非常好的综艺很细腻一开始听说是离婚综艺真的不怎么看好但是才看了一两集就觉得很有电影感不管是配乐还是节目组优秀的文案每集细腻的情感感人的冲突的都很吸引人观察室嘉宾的分析让我学到了很多新的感悟嘉宾追剧的心情就好像我本人每周不落下的看到了最后一集听到节目组写给每个人的信时眼泪哗哗的节目组真的太了解他们每个人了是很用心在做节目了人的情感是很复杂的人生也是复合与否并不是终结它也可以是新关系的开始新的开始不代表过去被斩断也可以是旧关系的进阶分开了不代表不爱也不是不能再对对方好有的人靠的越近伤害越大不是只有没感情才会互相伤害有感情也会至少每个人都变化很大这也是一种肉眼可见值得庆幸的事情
7739,0,7,0,6,0,0,1,0,之前看到有豆瓣友邻推荐这个综艺大略看了一下是说离婚的感觉肯定是有剧本的没有人会把自己的伤疤揭开在那么多人面前再说也很少看这类真人秀的综艺但后来看到好多友邻都在推荐于是花了一个礼拜看完了真的是值得关于亲密关系两性相处也学到了很多一对已经离婚一对正在离婚一对想要离婚三对平均年龄的中年人还在说什么自我啊爱啊什么的回头看是有点矫情但整个制作确实是非常棒的节目
